title,src,position,link
Photograph of VEISHEA swan float,https://isuu00001library102stg.blob.core.windows.net/digital-objects/weareisu/veisheaswan1935.jpg,center,https://digitalcollections.lib.iastate.edu/weareisu/items/weareisu450.html
Lantern slide and photograph of three young Screech Owls perching on a tree branch,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rosene/ms0589b002f058i001.jpg,center,https://digitalcollections.lib.iastate.edu/rosene/items/rosene940.html
Field worker,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-03-g_extension_1349-07-01.jpg,center,https://digitalcollections.lib.iastate.edu/extensionoutreach/items/extensionoutreach627.html
Corn train and crew,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-03-e_extension_1347-06-10.jpg,center,https://digitalcollections.lib.iastate.edu/extensionoutreach/items/extensionoutreach596.html
"Laboratory equipment, 1938",https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/11-04-m_chemeng_841-03-07.jpg,center,https://digitalcollections.lib.iastate.edu/universityphotographs/items/universityphotographs1350.html
Four Seasons Fountain,https://isuu00001library102stg.blob.core.windows.net/digital-objects/petersenchristian/26-2-52_photographs_6-6-12.jpg,center,https://digitalcollections.lib.iastate.edu/petersenchristian/items/petersenchristian86.html
